当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,Crown初盘让球,Crown初盘让球主赔,Crown初盘让球客赔,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队
http://bf.win007.com/football/Over_20191130.htm	,http://op1.win007.com/oddslist/1662059.htm	,2019.11.30	,日职联	,磐田喜悦	,名古屋鲸八	,2.30	,3.65	,2.41	,2.36	,3.65	,2.36	,平手	,0.90	,0.98	,平手	,0.97	,0.92	,3	,3	
http://bf.win007.com/football/Over_20191130.htm	,http://op1.win007.com/oddslist/1721233.htm	,2019.11.30	,俄超	,苏维埃之翼	,乌法	,2.38	,2.75	,2.95	,2.57	,2.75	,2.70	,平手/半球	,1.02	,0.80	,平手	,0.78	,1.13	,0	,0	
http://bf.win007.com/football/Over_20191124.htm	,http://op1.win007.com/oddslist/1809752.htm	,2019.11.24	,亚冠杯	,浦和红钻	,希拉尔	,2.38	,3.20	,2.57	,2.48	,3.10	,2.52	,平手/半球	,0.95	,0.93	,平手	,1.03	,0.85	,0	,0	
http://bf.win007.com/football/Over_20191124.htm	,http://op1.win007.com/oddslist/1740653.htm	,2019.11.24	,西甲	,西班牙人	,赫塔菲	,2.50	,2.80	,2.75	,2.55	,2.80	,2.68	,平手	,0.83	,1.05	,平手	,0.98	,0.92	,1	,0	
http://bf.win007.com/football/Over_20191124.htm	,http://op1.win007.com/oddslist/1735020.htm	,2019.11.24	,德乙	,雷根斯堡	,海登海默	,2.30	,3.50	,2.50	,2.38	,3.50	,2.40	,平手/半球	,1.07	,0.81	,平手	,0.95	,0.94	,3	,3	
http://bf.win007.com/football/Over_20191124.htm	,http://op1.win007.com/oddslist/1740657.htm	,2019.11.24	,西甲	,奥萨苏纳	,毕尔巴鄂竞技	,2.45	,2.85	,2.75	,2.56	,2.85	,2.63	,平手	,0.90	,0.98	,平手	,0.91	,0.99	,0	,0	
http://bf.win007.com/football/Over_20191115.htm	,http://op1.win007.com/oddslist/1725405.htm	,2019.11.16	,荷乙	,多德勒支	,罗达JC	,2.29	,3.65	,2.42	,2.36	,3.65	,2.36	,平手	,0.98	,0.90	,平手	,0.94	,0.94	,1	,3	
http://bf.win007.com/football/Over_20191110.htm	,http://op1.win007.com/oddslist/1721787.htm	,2019.11.11	,英超	,利物浦	,曼彻斯特城	,2.40	,3.30	,2.48	,2.52	,3.35	,2.35	,受让平手/半球	,0.81	,1.07	,平手	,1.02	,0.89	,3	,3	
http://bf.win007.com/football/Over_20191110.htm	,http://op1.win007.com/oddslist/1651720.htm	,2019.11.11	,挪超	,基斯迪辛特	,萨普斯堡	,2.30	,3.25	,2.64	,2.44	,3.25	,2.48	,平手/半球	,1.05	,0.83	,平手	,1.07	,0.83	,3	,3	
http://bf.win007.com/football/Over_20191108.htm	,http://op1.win007.com/oddslist/1651718.htm	,2019.11.09	,挪超	,布兰	,奥德格伦兰	,2.33	,3.15	,2.65	,2.48	,3.15	,2.50	,平手	,1.00	,0.88	,平手	,0.87	,1.03	,3	,3	
http://bf.win007.com/football/Over_20191107.htm	,http://op1.win007.com/oddslist/1788050.htm	,2019.11.08	,欧罗巴杯	,巴塞尔	,赫塔菲	,2.30	,3.10	,2.73	,2.72	,3.05	,2.35	,平手/半球	,1.06	,0.76	,平手	,0.82	,1.06	,3	,3	
http://bf.win007.com/football/Over_20191107.htm	,http://op1.win007.com/oddslist/1788038.htm	,2019.11.08	,欧罗巴杯	,哥本哈根	,基辅迪纳摩	,2.17	,3.00	,3.05	,2.53	,3.00	,2.53	,平手	,0.75	,1.07	,受让平手/半球	,0.82	,1.06	,1	,3	
http://bf.win007.com/football/Over_20191104.htm	,http://op1.win007.com/oddslist/1734998.htm	,2019.11.05	,德乙	,波鸿	,纽伦堡	,2.35	,3.45	,2.45	,2.43	,3.25	,2.47	,平手	,0.80	,1.08	,平手/半球	,1.05	,0.83	,3	,3	
http://bf.win007.com/football/Over_20191102.htm	,http://op1.win007.com/oddslist/1650649.htm	,2019.11.02	,瑞典超	,赫尔辛堡	,埃尔夫斯堡	,2.13	,3.50	,2.72	,2.42	,3.25	,2.48	,平手/半球	,1.06	,0.82	,平手	,1.02	,0.88	,0	,0	
http://bf.win007.com/football/Over_20191102.htm	,http://op1.win007.com/oddslist/1727708.htm	,2019.11.02	,英冠	,卢顿	,诺丁汉森林	,2.40	,3.30	,2.47	,2.43	,3.25	,2.47	,平手	,1.00	,0.88	,平手	,0.90	,0.99	,0	,0	
http://bf.win007.com/football/Over_20191102.htm	,http://op1.win007.com/oddslist/1727703.htm	,2019.11.02	,英冠	,布莱克本	,谢周三	,2.20	,3.15	,2.84	,2.45	,3.05	,2.58	,平手/半球	,1.06	,0.82	,平手/半球	,1.09	,0.81	,3	,0	
http://bf.win007.com/football/Over_20191102.htm	,http://op1.win007.com/oddslist/1723701.htm	,2019.11.03	,法甲	,梅斯	,蒙彼利埃	,2.50	,2.82	,2.72	,2.73	,2.82	,2.48	,平手	,0.78	,1.11	,受让平手/半球	,0.80	,1.11	,1	,3	
