当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,Crown初盘让球,Crown初盘让球主赔,Crown初盘让球客赔,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队
http://bf.win007.com/football/Over_20210227.htm	,http://op1.win007.com/oddslist/1906402.htm	,2021.02.27	,英冠	,米德尔斯堡	,卡迪夫城	,2.40	,2.95	,2.62	,2.44	,2.95	,2.56	,平手/半球	,1.06	,0.82	,平手	,0.84	,1.06	,1	,0	
http://bf.win007.com/football/Over_20210227.htm	,http://op1.win007.com/oddslist/1914022.htm	,2021.02.28	,西甲	,阿拉维斯	,奥萨苏纳	,2.45	,2.83	,2.65	,2.48	,2.80	,2.65	,平手	,0.79	,1.09	,平手	,0.96	,0.94	,0	,0	
http://bf.win007.com/football/Over_20210226.htm	,http://op1.win007.com/oddslist/1895055.htm	,2021.02.27	,德乙	,达姆斯塔特	,卡尔斯鲁厄	,2.35	,3.32	,2.43	,2.48	,3.32	,2.30	,平手	,0.81	,1.07	,平手	,0.84	,1.06	,0	,0	
http://bf.win007.com/football/Over_20210226.htm	,http://op1.win007.com/oddslist/1884036.htm	,2021.02.27	,荷甲	,泽沃勒	,海伦芬	,2.35	,3.35	,2.42	,2.37	,3.20	,2.47	,平手	,0.85	,1.03	,平手	,0.98	,0.91	,3	,0	
http://bf.win007.com/football/Over_20210223.htm	,http://op1.win007.com/oddslist/1955607.htm	,2021.02.23	,澳洲甲	,墨尔本城	,悉尼FC	,2.20	,3.30	,2.62	,2.37	,3.30	,2.42	,平手	,0.81	,1.07	,平手	,0.86	,1.04	,3	,3	
http://bf.win007.com/football/Over_20210221.htm	,http://op1.win007.com/oddslist/1955508.htm	,2021.02.21	,澳洲甲	,墨尔本胜利	,新城堡联队	,2.18	,3.35	,2.62	,2.50	,3.35	,2.27	,平手	,0.85	,1.03	,受让平手/半球	,0.85	,1.05	,0	,0	
http://bf.win007.com/football/Over_20210221.htm	,http://op1.win007.com/oddslist/1955527.htm	,2021.02.21	,澳洲甲	,惠灵顿凤凰	,西悉尼流浪者	,2.25	,3.35	,2.53	,2.60	,3.35	,2.20	,平手/半球	,1.07	,0.81	,受让平手/半球	,0.87	,1.03	,1	,3	
http://bf.win007.com/football/Over_20210220.htm	,http://op1.win007.com/oddslist/1955471.htm	,2021.02.20	,澳洲甲	,西部联	,麦克阿瑟FC	,2.19	,3.30	,2.63	,2.39	,3.30	,2.39	,平手/半球	,1.06	,0.82	,平手	,1.05	,0.85	,3	,3	
http://bf.win007.com/football/Over_20210207.htm	,http://op1.win007.com/oddslist/1877440.htm	,2021.02.07	,法甲	,布雷斯特	,波尔多	,2.42	,2.95	,2.58	,2.58	,2.85	,2.50	,平手/半球	,1.08	,0.80	,平手	,1.05	,0.85	,3	,0	
http://bf.win007.com/football/Over_20210206.htm	,http://op1.win007.com/oddslist/1955554.htm	,2021.02.06	,澳洲甲	,麦克阿瑟FC	,西悉尼流浪者	,2.18	,3.20	,2.72	,2.45	,3.00	,2.52	,平手/半球	,0.92	,0.96	,平手	,0.96	,0.93	,1	,3	
http://bf.win007.com/football/Over_20210205.htm	,http://op1.win007.com/oddslist/1877829.htm	,2021.02.06	,法乙	,尼奥特	,沙托鲁	,2.14	,3.00	,2.95	,2.45	,2.90	,2.59	,平手/半球	,0.82	,1.00	,平手	,1.19	,0.72	,1	,0	
http://bf.win007.com/football/Over_20210205.htm	,http://op1.win007.com/oddslist/1858914.htm	,2021.02.06	,巴西甲	,博塔弗戈	,累西腓体育	,2.28	,3.05	,2.68	,2.43	,2.98	,2.55	,平手	,0.87	,1.01	,平手	,1.05	,0.85	,0	,0	
http://bf.win007.com/football/Over_20210202.htm	,http://op1.win007.com/oddslist/1972226.htm	,2021.02.03	,意杯	,国际米兰	,尤文图斯	,2.33	,3.15	,2.55	,2.37	,3.15	,2.50	,平手/半球	,1.00	,0.88	,平手/半球	,0.97	,0.93	,0	,3	
