当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,Crown初盘让球,Crown初盘让球主赔,Crown初盘让球客赔,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队
http://bf.win007.com/football/Over_20200829.htm	,http://op1.win007.com/oddslist/1872426.htm	,2020.08.29	,日职联	,柏太阳神	,鹿岛鹿角	,2.17	,3.55	,2.55	,2.30	,3.55	,2.40	,平手/半球	,0.88	,0.94	,平手	,1.00	,0.90	,0	,3	
http://bf.win007.com/football/Over_20200829.htm	,http://op1.win007.com/oddslist/1873052.htm	,2020.08.29	,日职乙	,长崎成功丸	,大宫松鼠	,2.28	,3.12	,2.67	,2.40	,3.10	,2.53	,平手/半球	,1.00	,0.82	,平手	,1.05	,0.85	,3	,3	
http://bf.win007.com/football/Over_20200829.htm	,http://op1.win007.com/oddslist/1876476.htm	,2020.08.29	,瑞典超	,奥斯特桑斯	,法尔肯堡	,2.40	,3.15	,2.50	,2.43	,3.05	,2.53	,平手/半球	,1.04	,0.78	,平手	,1.12	,0.79	,3	,3	
http://bf.win007.com/football/Over_20200826.htm	,http://op1.win007.com/oddslist/1872544.htm	,2020.08.26	,日职联	,FC东京	,鹿岛鹿角	,2.16	,3.40	,2.65	,2.36	,3.30	,2.45	,半球/一球	,0.98	,0.84	,平手	,1.07	,0.83	,0	,3	
http://bf.win007.com/football/Over_20200824.htm	,http://op1.win007.com/oddslist/1876465.htm	,2020.08.25	,瑞典超	,卡尔马	,米亚尔比	,2.18	,3.10	,2.85	,2.52	,2.90	,2.55	,平手/半球	,1.04	,0.78	,平手	,1.01	,0.89	,0	,0	
http://bf.win007.com/football/Over_20200823.htm	,http://op1.win007.com/oddslist/1890057.htm	,2020.08.23	,比甲	,标准列日	,亨克	,2.10	,3.30	,2.82	,2.40	,3.30	,2.42	,平手/半球	,0.97	,0.91	,平手	,0.93	,0.96	,1	,1	
http://bf.win007.com/football/Over_20200823.htm	,http://op1.win007.com/oddslist/1886597.htm	,2020.08.23	,俄超	,莫斯科斯巴达	,莫斯科火车头	,2.43	,2.92	,2.63	,2.48	,2.92	,2.58	,平手	,0.88	,1.00	,平手	,0.78	,1.13	,3	,0	
http://bf.win007.com/football/Over_20200822.htm	,http://op1.win007.com/oddslist/1903686.htm	,2020.08.22	,澳洲甲	,惠灵顿凤凰	,珀斯光荣	,2.34	,3.30	,2.48	,2.47	,3.30	,2.35	,平手/半球	,1.05	,0.77	,平手	,0.98	,0.91	,0	,0	
http://bf.win007.com/football/Over_20200822.htm	,http://op1.win007.com/oddslist/1877599.htm	,2020.08.23	,法乙	,罗德兹	,格勒诺布尔	,2.38	,2.75	,2.85	,2.60	,2.65	,2.70	,平手/半球	,0.87	,1.01	,平手	,1.12	,0.77	,3	,3	
http://bf.win007.com/football/Over_20200822.htm	,http://op1.win007.com/oddslist/1890061.htm	,2020.08.23	,比甲	,安特卫普	,根特	,2.40	,3.30	,2.42	,2.44	,3.30	,2.37	,平手	,0.90	,0.98	,平手	,1.13	,0.78	,3	,3	
