当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,Crown初盘让球,Crown初盘让球主赔,Crown初盘让球客赔,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队
http://bf.win007.com/football/Over_20210130.htm	,http://op1.win007.com/oddslist/1895024.htm	,2021.01.30	,德乙	,雷根斯堡	,达姆斯塔特	,2.35	,3.27	,2.45	,2.36	,3.20	,2.48	,平手	,0.91	,0.97	,平手	,0.96	,0.93	,1	,0	
http://bf.win007.com/football/Over_20210129.htm	,http://op1.win007.com/oddslist/1915467.htm	,2021.01.30	,意甲	,都灵	,佛罗伦萨	,2.45	,3.05	,2.50	,2.50	,2.90	,2.54	,平手	,0.98	,0.90	,平手	,0.98	,0.92	,1	,0	
http://bf.win007.com/football/Over_20210127.htm	,http://op1.win007.com/oddslist/1877786.htm	,2021.01.28	,法乙	,查布莱	,尼奥特	,2.33	,2.85	,2.78	,2.63	,2.85	,2.45	,平手/半球	,1.00	,0.82	,平手	,1.03	,0.85	,1	,0	
http://bf.win007.com/football/Over_20210127.htm	,http://op1.win007.com/oddslist/1895013.htm	,2021.01.28	,德乙	,卡尔斯鲁厄	,汉诺威96	,2.26	,3.33	,2.52	,2.32	,3.33	,2.45	,平手/半球	,1.04	,0.84	,平手	,1.05	,0.85	,3	,3	
http://bf.win007.com/football/Over_20210127.htm	,http://op1.win007.com/oddslist/1895015.htm	,2021.01.28	,德乙	,柏德博恩	,基尔高士丁	,2.20	,3.42	,2.55	,2.30	,3.42	,2.43	,平手/半球	,1.07	,0.81	,平手/半球	,1.06	,0.84	,1	,3	
http://bf.win007.com/football/Over_20210117.htm	,http://op1.win007.com/oddslist/1915442.htm	,2021.01.18	,意甲	,国际米兰	,尤文图斯	,2.12	,3.40	,2.68	,2.32	,3.25	,2.50	,平手/半球	,1.06	,0.82	,平手/半球	,0.99	,0.91	,3	,3	
http://bf.win007.com/football/Over_20210111.htm	,http://op1.win007.com/oddslist/1913957.htm	,2021.01.12	,西甲	,韦斯卡	,皇家贝蒂斯	,2.43	,3.05	,2.50	,2.66	,3.05	,2.30	,平手	,1.00	,0.88	,平手	,1.05	,0.85	,0	,0	
http://bf.win007.com/football/Over_20210110.htm	,http://op1.win007.com/oddslist/1894983.htm	,2021.01.10	,德乙	,达姆斯塔特	,汉诺威96	,2.32	,3.33	,2.45	,2.39	,3.33	,2.39	,平手/半球	,1.00	,0.88	,平手	,0.97	,0.92	,0	,0	
http://bf.win007.com/football/Over_20210107.htm	,http://op1.win007.com/oddslist/1858853.htm	,2021.01.08	,巴西甲	,塞阿拉	,巴西国际	,2.40	,2.80	,2.75	,2.55	,2.80	,2.56	,平手	,0.97	,0.85	,平手	,1.02	,0.88	,0	,0	
http://bf.win007.com/football/Over_20210106.htm	,http://op1.win007.com/oddslist/1915421.htm	,2021.01.06	,意甲	,卡利亚里	,贝内文托	,2.25	,3.30	,2.55	,2.40	,3.00	,2.57	,平手/半球	,1.06	,0.82	,平手	,1.03	,0.87	,0	,3	
http://bf.win007.com/football/Over_20210106.htm	,http://op1.win007.com/oddslist/1915420.htm	,2021.01.06	,意甲	,博洛尼亚	,乌迪内斯	,2.36	,3.25	,2.45	,2.45	,3.00	,2.52	,平手	,1.00	,0.88	,平手	,0.97	,0.93	,1	,3	
http://bf.win007.com/football/Over_20210105.htm	,http://op1.win007.com/oddslist/1877767.htm	,2021.01.06	,法乙	,甘冈	,亚眠	,2.50	,2.82	,2.60	,2.56	,2.80	,2.56	,平手/半球	,1.08	,0.80	,平手	,1.03	,0.85	,1	,3	
http://bf.win007.com/football/Over_20210102.htm	,http://op1.win007.com/oddslist/1906286.htm	,2021.01.02	,英冠	,普雷斯顿	,诺丁汉森林	,2.45	,2.85	,2.65	,2.52	,2.85	,2.55	,平手	,0.78	,1.11	,平手	,1.06	,0.84	,0	,0	
