当日链接,比赛详情链接,日期,联赛名,主队,客队,竞彩主胜初赔,竞彩平局初赔,竞彩客胜初赔,竞彩主胜终赔,竞彩平局终赔,竞彩客胜终赔,Crown初盘让球,Crown初盘让球主赔,Crown初盘让球客赔,Crown终盘让球,Crown终盘让球主赔,Crown终盘让球客赔,赛果,首先进球球队
http://bf.win007.com/football/Over_20201130.htm	,http://op1.win007.com/oddslist/1876564.htm	,2020.12.01	,瑞典超	,哈马比	,诺科平	,2.25	,3.80	,2.32	,2.50	,3.40	,2.25	,平手	,0.96	,0.92	,平手	,1.11	,0.80	,0	,0	
http://bf.win007.com/football/Over_20201130.htm	,http://op1.win007.com/oddslist/1915353.htm	,2020.12.01	,意甲	,热那亚	,帕尔马	,2.25	,3.15	,2.65	,2.55	,3.10	,2.36	,平手	,0.95	,0.93	,平手/半球	,1.07	,0.83	,0	,0	
http://bf.win007.com/football/Over_20201129.htm	,http://op1.win007.com/oddslist/1913884.htm	,2020.11.29	,西甲	,赫塔菲	,毕尔巴鄂竞技	,2.49	,2.60	,2.85	,2.66	,2.50	,2.75	,平手/半球	,1.12	,0.77	,平手	,0.80	,1.11	,1	,0	
http://bf.win007.com/football/Over_20201128.htm	,http://op1.win007.com/oddslist/1873297.htm	,2020.11.28	,日职乙	,北九州向日葵	,冈山绿雉	,2.31	,3.06	,2.64	,2.38	,3.06	,2.55	,平手/半球	,1.06	,0.82	,平手	,0.89	,1.00	,1	,3	
http://bf.win007.com/football/Over_20201127.htm	,http://op1.win007.com/oddslist/1884811.htm	,2020.11.28	,荷乙	,福伦丹	,阿尔梅勒城	,2.18	,3.65	,2.47	,2.28	,3.55	,2.39	,平手/半球	,1.03	,0.85	,受让平手/半球	,0.93	,0.95	,1	,3	
http://bf.win007.com/football/Over_20201125.htm	,http://op1.win007.com/oddslist/1858799.htm	,2020.11.26	,巴西甲	,科里蒂巴	,科林蒂安	,2.40	,2.80	,2.75	,2.63	,2.70	,2.57	,平手	,0.94	,0.88	,平手	,1.13	,0.78	,0	,0	
http://bf.win007.com/football/Over_20201123.htm	,http://op1.win007.com/oddslist/1884788.htm	,2020.11.24	,荷乙	,阿贾克斯青年队	,福伦丹	,2.22	,3.95	,2.30	,2.30	,3.95	,2.22	,受让平手/半球	,0.89	,0.93	,平手/半球	,1.01	,0.87	,1	,0	
http://bf.win007.com/football/Over_20201122.htm	,http://op1.win007.com/oddslist/1915344.htm	,2020.11.22	,意甲	,桑普多利亚	,博洛尼亚	,2.29	,3.40	,2.45	,2.32	,3.40	,2.42	,平手	,0.81	,1.07	,平手	,0.94	,0.96	,0	,3	
http://bf.win007.com/football/Over_20201118.htm	,http://op1.win007.com/oddslist/1872592.htm	,2020.11.18	,日职联	,神户胜利船	,浦和红钻	,2.08	,3.70	,2.58	,2.40	,3.65	,2.23	,平手/半球	,0.96	,0.92	,平手	,1.08	,0.82	,0	,0	
http://bf.win007.com/football/Over_20201118.htm	,http://op1.win007.com/oddslist/1858437.htm	,2020.11.19	,欧国联	,以色列	,苏格兰	,2.30	,3.10	,2.62	,2.51	,3.10	,2.40	,平手	,0.96	,0.92	,受让平手/半球	,0.84	,1.06	,3	,3	
